2026-04-14 14:14:29,329 | INFO | Memindahkan: Inspection Report_ES2440076899_20260414150021.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,331 | INFO | Memindahkan: Inspection Report_HV2330397033_20260414150112.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,334 | INFO | Memindahkan: Inspection Report_HV2470013653_20260414145814.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,336 | INFO | Memindahkan: Inspection Report_HV2470014271_20260414145905.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,339 | INFO | Memindahkan: Inspection Report_NS2331625143_20260414150203.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,340 | INFO | Memindahkan: Inspection Report_NS247G002990_20260414150345.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,344 | INFO | Memindahkan: Inspection Report_TA2330277083_20260414145930.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,346 | INFO | Memindahkan: Inspection Report_TA2330593195_20260414150254.zip -> C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\00-INJECTION-IVCURVE
2026-04-14 14:14:29,347 | INFO | Proses pemindahan selesai.
2026-04-14 14:14:29,347 | INFO | Menunggu 1.0 menit sebelum memulai proses Injeksi Parquet...
2026-04-14 14:15:29,364 | INFO | Menjalankan skrip: C:\Users\Alwi_Fahrozi\OneDrive - Banpu Public Company Limited\Operation & Maintenance - IV_CURVE\0-inject-IV-data-parquet.py
2026-04-14 14:15:56,768 | INFO | ✅ Skrip Injeksi Parquet berhasil dijalankan.
2026-04-14 14:15:56,777 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414144825.zip
2026-04-14 14:15:56,782 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414144851.zip
2026-04-14 14:15:56,784 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414144917.zip
2026-04-14 14:15:56,784 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414144942.zip
2026-04-14 14:15:56,784 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145008.zip
2026-04-14 14:15:56,790 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145034.zip
2026-04-14 14:15:56,790 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145125.zip
2026-04-14 14:15:56,790 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145152.zip
2026-04-14 14:15:56,795 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145217.zip
2026-04-14 14:15:56,797 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145242.zip
2026-04-14 14:15:56,799 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145308.zip
2026-04-14 14:15:56,802 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145333.zip
2026-04-14 14:15:56,804 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145359.zip
2026-04-14 14:15:56,804 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145425.zip
2026-04-14 14:15:56,807 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145450.zip
2026-04-14 14:15:56,808 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145515.zip
2026-04-14 14:15:56,810 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145541.zip
2026-04-14 14:15:56,813 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145607.zip
2026-04-14 14:15:56,814 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145658.zip
2026-04-14 14:15:56,816 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145723.zip
2026-04-14 14:15:56,818 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145749.zip
2026-04-14 14:15:56,820 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414145956.zip
2026-04-14 14:15:56,820 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414150502.zip
2026-04-14 14:15:56,823 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414150553.zip
2026-04-14 14:15:56,983 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414150619.zip
2026-04-14 14:15:56,984 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414150711.zip
2026-04-14 14:15:56,984 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414150736.zip
2026-04-14 14:15:56,992 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414150802.zip
2026-04-14 14:15:56,994 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_20260414150854.zip
2026-04-14 14:15:56,997 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_6T2229003954_20260414144800.zip
2026-04-14 14:15:57,000 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_6T2229006161_20260414150436.zip
2026-04-14 14:15:57,005 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_6T2239030965_20260414150919.zip
2026-04-14 14:15:57,011 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_6T2429006969_20260414150320.zip
2026-04-14 14:15:57,015 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_6T2449020139_20260414150138.zip
2026-04-14 14:15:57,020 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_BT2461300179_20260414145839.zip
2026-04-14 14:15:57,023 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_ES2170008784_20260414150645.zip
2026-04-14 14:15:57,025 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_ES2260137606_20260414150527.zip
2026-04-14 14:15:57,027 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_ES2440076899_20260414150021.zip
2026-04-14 14:15:57,030 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_HV2330397033_20260414150112.zip
2026-04-14 14:15:57,034 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_HV2470013653_20260414145814.zip
2026-04-14 14:15:57,038 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_HV2470014271_20260414145905.zip
2026-04-14 14:15:57,045 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_NS2331625143_20260414150203.zip
2026-04-14 14:15:57,052 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_NS247G002990_20260414150345.zip
2026-04-14 14:15:57,056 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_TA2330277083_20260414145930.zip
2026-04-14 14:15:57,059 | INFO | 📦 File dipindahkan ke extracted: Inspection Report_TA2330593195_20260414150254.zip
